siteid,samplecollectiondate,stationno,birds,abundance
SC-ASE,4/21/24,1,HOGR,
SC-ASE,4/21/24,1,PBGR,
SC-ASE,4/21/24,1,WEGR,
SC-ASE,4/21/24,1,WHPE,
SC-ASE,4/21/24,1,BRPE,20
SC-ASE,4/21/24,1,DCCO,
SC-ASE,4/21/24,1,BCNH,
SC-ASE,4/21/24,1,GBHE,
SC-ASE,4/21/24,1,REEG,
SC-ASE,4/21/24,1,SNEG,
SC-ASE,4/21/24,1,GREG,
SC-ASE,4/21/24,1,MALL,2
SC-ASE,4/21/24,1,GADW,
SC-ASE,4/21/24,1,CITE,
SC-ASE,4/21/24,1,BWTE,
SC-ASE,4/21/24,1,TUVU,
SC-ASE,4/21/24,1,OSPR,
SC-ASE,4/21/24,1,WTKI,
SC-ASE,4/21/24,1,NOHA,
SC-ASE,4/21/24,1,COHA,
SC-ASE,4/21/24,1,RSHA,
SC-ASE,4/21/24,1,RTHA,
SC-ASE,4/21/24,1,AMKE,
SC-ASE,4/21/24,1,PEFA,
SC-ASE,4/21/24,1,VIRA,
SC-ASE,4/21/24,1,LFRR,
SC-ASE,4/21/24,1,AMCO,
SC-ASE,4/21/24,1,BBPL,
SC-ASE,4/21/24,1,KILL,
SC-ASE,4/21/24,1,AMAV,
SC-ASE,4/21/24,1,BNST,
SC-ASE,4/21/24,1,WILL,
SC-ASE,4/21/24,1,GRYE,
SC-ASE,4/21/24,1,SPSA,
SC-ASE,4/21/24,1,WESA,
SC-ASE,4/21/24,1,LESA,
SC-ASE,4/21/24,1,Peeps,
SC-ASE,4/21/24,1,WHIM,
SC-ASE,4/21/24,1,LBCU,
SC-ASE,4/21/24,1,MAGO,
SC-ASE,4/21/24,1,LBDO,
SC-ASE,4/21/24,1,RBGU,
SC-ASE,4/21/24,1,WEGU,
SC-ASE,4/21/24,1,CAGU,50
SC-ASE,4/21/24,1,Tern_sp.,
SC-ASE,4/21/24,1,CATE,
SC-ASE,4/21/24,1,ROTE,
SC-ASE,4/21/24,1,ELTE,
SC-ASE,4/21/24,1,FOTE,
SC-ASE,4/21/24,1,ROPI,
SC-ASE,4/21/24,1,ECDO,
SC-ASE,4/21/24,1,MODO,
SC-ASE,4/21/24,1,ANHU,
SC-ASE,4/21/24,1,ALHU,
SC-ASE,4/21/24,1,COHU,
SC-ASE,4/21/24,1,Hummingbird_sp.,
SC-ASE,4/21/24,1,BEKI,
SC-ASE,4/21/24,1,DOWO,
SC-ASE,4/21/24,1,HAWO,
SC-ASE,4/21/24,1,NUWO,
SC-ASE,4/21/24,1,Empidonax,
SC-ASE,4/21/24,1,BLPH,2
SC-ASE,4/21/24,1,SAPH,
SC-ASE,4/21/24,1,CAKI,3
SC-ASE,4/21/24,1,WEKI,
SC-ASE,4/21/24,1,CASJ,
SC-ASE,4/21/24,1,AMCR,4
SC-ASE,4/21/24,1,CORA,
SC-ASE,4/21/24,1,CLSW,3
SC-ASE,4/21/24,1,BASW,
SC-ASE,4/21/24,1,NRWS,
SC-ASE,4/21/24,1,OATI,
SC-ASE,4/21/24,1,BUSH,
SC-ASE,4/21/24,1,HOWR,
SC-ASE,4/21/24,1,BEWR,
SC-ASE,4/21/24,1,RCKI,
SC-ASE,4/21/24,1,BGGN,
SC-ASE,4/21/24,1,WEBB,
SC-ASE,4/21/24,1,AMRO,
SC-ASE,4/21/24,1,NOMO,
SC-ASE,4/21/24,1,EUST,2
SC-ASE,4/21/24,1,OCWA,
SC-ASE,4/21/24,1,YEWA,
SC-ASE,4/21/24,1,COYE,
SC-ASE,4/21/24,1,NAWA,
SC-ASE,4/21/24,1,YRWA,
SC-ASE,4/21/24,1,CATO,2
SC-ASE,4/21/24,1,SPTO,
SC-ASE,4/21/24,1,SOSP,
SC-ASE,4/21/24,1,BSSP,
SC-ASE,4/21/24,1,WCSP,
SC-ASE,4/21/24,1,DEJU,
SC-ASE,4/21/24,1,RWBB,
SC-ASE,4/21/24,1,GTGR,
SC-ASE,4/21/24,1,HOOR,
SC-ASE,4/21/24,1,BUOR,
SC-ASE,4/21/24,1,HOFI,4
SC-ASE,4/21/24,1,AMGO,
SC-ASE,4/21/24,1,LEGO,
SC-ASE,4/21/24,1,HOSP,
SC-ASE,4/21/24,1,CEWA,
SC-MAL,5/27/24,1,HOGR,
SC-MAL,5/27/24,1,PBGR,
SC-MAL,5/27/24,1,WEGR,
SC-MAL,5/27/24,1,WHPE,
SC-MAL,5/27/24,1,BRPE,100
SC-MAL,5/27/24,1,DCCO,4
SC-MAL,5/27/24,1,BCNH,
SC-MAL,5/27/24,1,GBHE,
SC-MAL,5/27/24,1,REEG,
SC-MAL,5/27/24,1,SNEG,
SC-MAL,5/27/24,1,GREG,
SC-MAL,5/27/24,1,MALL,6
SC-MAL,5/27/24,1,GADW,4
