siteid,stationno,replicate,abundance,richness,season,year
SC-BSC,1,1,52,6,Fall,2024
SC-BSC,1,2,4,3,Fall,2024
SC-BSC,1,3,12,4,Fall,2024
SC-MAL,1,1,3,2,Fall,2024
SC-MAL,1,2,1,1,Fall,2024
SC-MAL,1,3,2,1,Fall,2024
SC-MAL,2,1,0,0,Fall,2024
SC-MAL,2,2,107,2,Fall,2024
SC-MAL,2,3,27,3,Fall,2024
SC-MAL,3,1,2,2,Fall,2024
SC-MAL,3,2,3,3,Fall,2024
SC-MAL,3,3,1,1,Fall,2024
SC-TOP,1,1,9,1,Fall,2024
SC-TOP,1,2,9,1,Fall,2024
SC-TOP,1,3,24,1,Fall,2024
SC-ZUM,1,1,159,2,Fall,2024
SC-ZUM,1,2,29,3,Fall,2024
SC-ZUM,1,3,30,1,Fall,2024
SC-ZUM,2,1,28,1,Fall,2024
SC-ZUM,2,2,76,2,Fall,2024
SC-ZUM,2,3,68,1,Fall,2024
