projectid,siteid,estuaryname,stationno,samplecollectiondate,samplelocation,samplereplicate,collectionmethod,scientificname,qualifier,abundance,excludefromanalysis,sievelocation,sievesize,sievesizeunits,voucher,personalvoucher,initial,taxonomist,lab,abundancenotes
SMBRC-Prop50,SC-MAL,Malibu Lagoon ,1,11/1/24,intertidal,1,sediment core,Tubificidae,,2,,lab,,um,,,,,CSULB,
SMBRC-Prop50,SC-MAL,Malibu Lagoon ,1,11/1/24,intertidal,1,sediment core,Chironomid,,1,,lab,,um,,,,,CSULB,not in lu
SMBRC-Prop50,SC-MAL,Malibu Lagoon ,1,11/1/24,intertidal,2,sediment core,Tubificidae,,1,,lab,,um,,,,,CSULB,
SMBRC-Prop50,SC-MAL,Malibu Lagoon ,1,11/1/24,intertidal,3,sediment core,Chironomid,,2,,lab,,um,,,,,CSULB,
SMBRC-Prop50,SC-MAL,Malibu Lagoon ,2,11/1/24,intertidal,1,sediment core,-88,,0,,lab,,um,,,,,CSULB,nothing found
SMBRC-Prop50,SC-MAL,Malibu Lagoon ,2,11/1/24,intertidal,2,sediment core,Tubificidae,,47,,lab,,um,,,,,CSULB,
SMBRC-Prop50,SC-MAL,Malibu Lagoon ,2,11/1/24,intertidal,2,sediment core,Capitellidae ,,60,,lab,,um,,,,,CSULB,
SMBRC-Prop50,SC-MAL,Malibu Lagoon ,2,11/1/24,intertidal,3,sediment core,Polydora nuchalis,,2,,lab,,um,,,,,CSULB,
SMBRC-Prop50,SC-MAL,Malibu Lagoon ,2,11/1/24,intertidal,3,sediment core,Capitellidae ,,19,,lab,,um,,,,,CSULB,
SMBRC-Prop50,SC-MAL,Malibu Lagoon ,2,11/1/24,intertidal,3,sediment core,Tubificidae,,6,,lab,,um,,,,,CSULB,
SMBRC-Prop50,SC-MAL,Malibu Lagoon ,3,11/1/24,intertidal,1,sediment core,Polydora nuchalis,,1,,lab,,um,,,,,CSULB,
SMBRC-Prop50,SC-MAL,Malibu Lagoon ,3,11/1/24,intertidal,1,sediment core,Ceratopogonidae ,,1,,lab,,um,,,,,CSULB,pupa
SMBRC-Prop50,SC-MAL,Malibu Lagoon ,3,11/1/24,intertidal,2,sediment core,Tubificidae,,1,,lab,,um,,,,,CSULB,
SMBRC-Prop50,SC-MAL,Malibu Lagoon ,3,11/1/24,intertidal,2,sediment core,Chironomid,,1,,lab,,um,,,,,CSULB,
SMBRC-Prop50,SC-MAL,Malibu Lagoon ,3,11/1/24,intertidal,2,sediment core,unknown clam,,1,,lab,,um,,,,,CSULB,how to note?
SMBRC-Prop50,SC-MAL,Malibu Lagoon ,3,11/1/24,intertidal,3,sediment core,Collembola,,1,,lab,,um,,,,,CSULB,aka Poduridae
