Abbreviation,Name
Grebes & Pelicans,Grebes & Pelicans
HOGR,Horned Grebe
PBGR,Pied-billed Grebe
WEGR,Western Grebe
WHPE,White Pelican
BRPE,Brown Pelican
Cormorants & Herons,Cormorants & Herons
DCCO,Double-crested Cormorant
BCNH,Black-crowned Night-Heron
GBHE,Great Blue Heron
REEG,Reddish Egret
SNEG,Snowy Egret
GREG,Great Egret
Ducks & Waterfowl,Ducks & Waterfowl
MALL,Mallard
GADW,Gadwall
CITE,Cinnamon Teal
BWTE,Blue-winged Teal
"Vultures, Hawks, Falcons","Vultures, Hawks, Falcons"
TUVU,Turkey Vulture
OSPR,Osprey
WTKI,White-tailed Kite
NOHA,Northern Harrier
COHA,Cooper's Hawk
RSHA,Red-shouldered Hawk
RTHA,Red-tailed Hawk
AMKE,American Kestrel
PEFA,Peregrine Falcon
"Rails, Coots & Plovers","Rails, Coots & Plovers"
VIRA,Virginia Rail
LFRR,Light-footed Ridgway’s Rail
AMCO,American Coot
BBPL,Black-bellied Plover
KILL,Killdeer
Sandpipers & Shorebirds,Sandpipers & Shorebirds
AMAV,American Avocet
BNST,Black-necked Stilt
WILL,Willet
GRYE,Greater Yellowlegs
SPSA,Spotted Sandpiper
WESA,Western Sandpiper
LESA,Least Sandpiper
Peeps,Mixed small sandpipers (general term)
WHIM,Whimbrel
LBCU,Long-billed Curlew
MAGO,Marbled Godwit
LBDO,Long-billed Dowitcher
Gulls & Terns,Gulls & Terns
RBGU,Ring-billed Gull
WEGU,Western Gull
CAGU,California Gull
Tern_sp.,Tern species (unspecified)
CATE,Caspian Tern
ROTE,Royal Tern
ELTE,Elegant Tern
FOTE,Forster's Tern
Pigeons & Doves,Pigeons & Doves
ROPI,Rock Pigeon
ECDO,Eurasian Collared-Dove
MODO,Mourning Dove
Hummingbirds,Hummingbirds
ANHU,Anna’s Hummingbird
ALHU,Allen’s Hummingbird
COHU,Costa’s Hummingbird
Hummingbird_sp.,Hummingbird species (unspecified)
Woodpeckers,
BEKI,Belted Kingfisher
DOWO,Downy Woodpecker
HAWO,Hairy Woodpecker
NUWO,Nuttall’s Woodpecker
Flycatchers & Allies,Flycatchers & Allies
Empidonax,"Empidonax Flycatchers (genus, hard to ID to species)"
BLPH,Black Phoebe
SAPH,Say’s Phoebe
CAKI,Cassin’s Kingbird
WEKI,Western Kingbird
Crows & Swallows,Crows & Swallows
CASJ,California Scrub-Jay
AMCR,American Crow
CORA,Common Raven
CLSW,Cliff Swallow
BASW,Barn Swallow
NRWS,Northern Rough-winged Swallow
Wrens & Kinglets,Wrens & Kinglets
OATI,Oak Titmouse
BUSH,Bushtit
HOWR,House Wren
BEWR,Bewick’s Wren
RCKI,Ruby-crowned Kinglet
Gnatcatchers & Thrushes,Gnatcatchers & Thrushes
BGGN,Blue-gray Gnatcatcher
WEBB,Western Bluebird
AMRO,American Robin
NOMO,Northern Mockingbird
Warblers,Warblers
EUST,European Starling
OCWA,Orange-crowned Warbler
YEWA,Yellow Warbler
COYE,Common Yellowthroat
NAWA,Nashville Warbler
YRWA,Yellow-rumped Warbler
Sparrows,Sparrows
CATO,California Towhee
SPTO,Spotted Towhee
SOSP,Song Sparrow
BSSP,Belding’s Savannah Sparrow
WCSP,White-crowned Sparrow
DEJU,Dark-eyed Junco
Blackbirds & Finches,Blackbirds & Finches
RWBB,Red-winged Blackbird
GTGR,Great-tailed Grackle
HOOR,Hooded Oriole
BUOR,Bullock’s Oriole
HOFI,House Finch
AMGO,American Goldfinch
LEGO,Lesser Goldfinch
Others,Others
HOSP,House Sparrow
CEWA,Cedar Waxwing
BHCO,Brown-headed Cowbird
AMPI,American Pipit
PISI,Pine Siskin
WREN,Wren species (general/unspecified)
CAGO,Canada Goose
GWTE,Green-winged Teal
EAGR,Eared Grebe
SUSC,Surf Scoter
HETH,Hermit Thrush
HEGU,Heermann's Gull
