"objectid","scientificname","commonname","status","source","comments","len_at_maturity_tlcm","weight_to_len_eqn","fish_or_invert","synonym"
"338","unknown tadpole","unknown tadpole","Not recorded",,,,,"fish",
"337","Pseudacris regilla","Pacific treefrog tadpole","native",,,,,"neither",
"98","Mugil cephalus","striped mullet","native","http://www.fishbase.org/search.php",,"35.4cm, range 30-43.8cm","W=0.0132*L^2.92900","fish",
"340","Psettichthys melanostictus","Pacific sand sole","native","https://fishbase.mnhn.fr/summary/Psettichthys-melanostictus.html","Jan confirmed that this be added on 1/29/2024, requested by Marwah (MLML)",,,"fish",
"339","Emerita analoga","Pacific sand crab","native",,,,,"invert",
"342","unknown isopod","unknown isopod","Not recorded",,,,,"invert",
"6","Alosa sapidissima","American shad","invasive","http://calfish.ucdavis.edu/species/?uid=3&ds=698",,"43.4cm, range 38-48.5cm","W=0.0065*L^2.95900","fish",
"75","Hypsoblennius gilberti","rockpool blenny","native","http://www.fishbase.org/search.php",,"11.2cm, range 8.4-15cm","W=0.0133*L^3.1010","fish",
"74","Hypsoblennius gentilis","bay blenny","native","http://www.fishbase.org/search.php",,"10cm, range 7.5-13.4cm","W=0.0112*L^2.9790","fish",
"334","Cynoscion parvipinnis","Shortfin weakfish","native","https://www.fishbase.se/summary/3581",,,,"fish",
"112","Paralabrax clathratus","kelp bass","native","http://www.fishbase.org/search.php",,"35cm, range 26.1-46.9cm","W=0.0027*L^3.27000","fish",
"113","Paralabrax maculatofasciatus","spotted sand bass","native","http://www.fishbase.org/search.php",,"20.4cm, range 15.2-27.3cm","W=0.0160*L^2.92800","fish",
"94","Menticirrhus undulatus","California corbina","native","http://www.fishbase.org/search.php",,"25.2cm, range 18.8-33.7cm","W=0.0570*L^2.46400","fish",
"96","Microstomus pacificus","dover sole","native","http://www.fishbase.org/search.php",,"23.5cm, range 38-40cm","W=0.0122*L^2.93870","fish",
"97","Morone saxatilis","striped bass","invasive","https://www.waterboards.ca.gov/waterrights/water_issues/programs/bay_delta/deltaflow/docs/exhibits/swrcb/swrcb_matern2002.pdf",,"53.2cm, range 39.7-71.2cm","W=0.0061*l^3.15300","fish",
"359","Scorpaenidae sp.","rockfish","Not recorded","https://www.fishbase.se/summary/FamilySummary.php?ID=264",,,,"fish",
"333","unidentifiable fish","unidentifiable fish","Not recorded",,"Jan requested this to be added on 11/28",,,"fish",
"343","unknown copepod","unknown copepod","Not recorded",,,,,"invert",
"344","unknown bug","unknown bug","Not recorded",,,,,"invert",
"336","unknown clam","unknown clam","Not recorded",,,,,"invert",
"102","Myliobatis californica","bat ray","native","http://www.fishbase.org/search.php",,"120.2cm, range 89.7-161cm","W=0.0130*L^3.0000","fish",
"321","unknown brine shrimp","unknown brine shrimp","Not recorded",,,,,"invert",
"59","Gillichthys mirabilis","longjaw mudsucker goby","native","http://www.fishbase.org/search.php",,"13.4cm, range 11.3-15.8cm","W=0.0200*L^3.1700","fish",
"322","Navanax inermis","California aglaja","Not recorded",,,,,"invert",
"323","Siliqua patula","razor clam","Not recorded",,,,,"invert",
"325","Callinectes bellicosus","Cortez Swimming Crab","native",,,,,"invert",
"95","Micropterus salmoides","largemouth bass","invasive","http://www.fishbase.org/search.php",,"28.5cm, 21.3-38.2cm","W=0.0111*L^3.10800","fish",
"357","Porichthys myriaster","specklefin midshipman","native","https://fishbase.mnhn.fr/summary/3070",,,,"fish",
"326","unknown sponge","unknown sponge","Not recorded",,,,,"invert",
"328","unknown blenny","unknown blenny","Not recorded",,,,,"fish",
"302","unknown crab","unknown crab","Not recorded",,,,,"invert",
"345","Sebastes sp.","unknown rockfish","Not recorded",,,,,"fish",
"347","unknown nudibranch","unknown nudibranch","Not recorded",,,,,"invert",
"349","Cetengraulis mysticetus","Pacific anchoveta","non-native","https://biogeodb.stri.si.edu/sftep/en/thefishes/species/505",,,,"fish",
"350","juvenile mullet","juvenile mullet","Not recorded",,,,,"fish",
"351","juvenile topsmelt","juvenile topsmelt","Not recorded",,,,,"fish",
"352","unknown flatfish","unknown flatfish","Not recorded",,,,,"fish",
"354","Dendronotus iris","rainbow nudibranch","Not recorded",,,,,"invert",
"356","Syngnathus sp.","pipefish","Not recorded",,,,,"fish",
"358","Hypsoblennius sp.","blenny","Not recorded",,,,,"fish",
"360","Acanthinucella sp.","unicorn whelk snails","native","https://inverts.wallawalla.edu/Mollusca/Gastropoda/Prosobranchia/Order_Neogastropoda/Suborder_Rachiglossa/Family_Nucellidae/Acanthina_spirata.html",,"None","None","invert",
"361","Anisotremus davidsonii","Xantic sargo","native","https://www.fishbase.se/summary/Anisotremus-davidsoni.html",,"33.1cm, range 24.7-44.4cm","W=0.0188*L^3","fish",
"362","Atherinopsis californiensis","jack silverside","native","https://biogeodb.stri.si.edu/sftep/en/thefishes/species/811",,"26.5cm, range 19.8-35.4cm","W=0.0100*L^2.92000","fish",
"363","Atherinops sp.","silverside","native","https://biogeodb.stri.si.edu/sftep/en/thefishes/species/809",,"None","None","fish",
"364","Callianassa sp.","ghost shrimp","native","None",,"None","None","invert",
"365","Caulolatilus princeps","ocean whitefish","native","https://www.fishbase.in/summary/3539",,"54.5cm, range 40.7-73cm","None","fish",
"366","Cryptomya californica","California softshell clam","native","https://escholarship.org/uc/item/6t96k2rn",,"None","None","invert",
"367","Haminoea japonica","Japanese bubble snail","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/567649",,"None","None","invert",
"346","Quietula y-cauda","shadow goby","native","https://fishbase.mnhn.fr/summary/Quietula-y-cauda",,,,"fish",
"353","Syngnathus auliscus","barred pipefish","native","https://www.fishbase.se/summary/Syngnathus-auliscus.html",,,,"fish",
"335","Xenistius californiensis","Californian salema","native",,,,,"fish","Brachygenys californiensis"
"355","Cancer gracilis","graceful rock crab","native","https://inverts.wallawalla.edu/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Eucarida/Decapoda/Brachyura/Family_Cancridae/Cancer_gracilis.html",,,,"invert","Metacarcinus gracilis"
"237","Ophichthus zophochir","yellow snake eel","native","http://www.fishbase.org/search.php",,"40.8cm, range 30.5-54.7cm","W=0.0006*L^3.14840","fish",
"3","Acipenser medirostris","green sturgeon","native","http://calfish.ucdavis.edu/species/?uid=35&ds=241",,"range 105-140cm",,"fish",
"110","Oxyjulis californica","senorita","native","http://www.fishbase.org/search.php",,"15.7cm, range 11.7-21.1cm",,"fish",
"60","Girella nigricans","opaleye","native","http://www.fishbase.org/search.php",,"37.1cm, range 27.7-49.7cm","W=0.0151*L^3.36000","fish",
"63","Gymnura marmorata","California butterfly ray","native","http://www.fishbase.org/search.php",,"53.5cm, range 40-71.7cm","W=0.0070*L^2.96000","fish",
"66","Hermosilla azurea","zebra perch","native","http://www.fishbase.org/search.php",,"26.5cm, range 19.8-35.54cm","W=0.0194*L^3.23000","fish",
"368","Henricia leviuscula","blood star","native","https://inverts.wallawalla.edu/Echinodermata/Class%20Asteroidea/Henricia_leviuscula.html",,"None","None","invert",
"119","Platichthys stellatus","starry flounder","native","http://www.fishbase.org/search.php",,"28.5cm, range 21.3-38.2cm","W=0.0121*L^3.08100","fish",
"111","Oxylebius pictus","painted greenling","native","http://www.fishbase.org/search.php",,"15.7cm, range 11.7-21.1cm",,"fish",
"369","Hexagrammos decagrammus","kelp greenling","native","https://escholarship.org/content/qt6t96k2rn/qt6t96k2rn_noSplash_c904d58fa5b15d745342dd9106ca4010.pdf?t=p30bdl",,"34.6cm, 25.8-46.3cm","None","fish",
"114","Paralabrax nebulifer","barred sand bass","native","http://www.fishbase.org/search.php",,"37.6cm, range 28-50.3cm",,"fish",
"115","Paralichthys californicus","California halibut","native","http://www.fishbase.org/search.php",,"47.3cm, range 47-51.3cm",,"fish",
"370","Hysterocarpus traskii","tule Perch","native","https://www.waterboards.ca.gov/waterrights/water_issues/programs/bay_delta/deltaflow/docs/exhibits/swrcb/swrcb_matern2002.pdf",,"10cm, range 7.5-13.4cm","None","fish",
"77","Hypsopsetta guttulata","diamond turbot","native","http://www.fishbase.org/search.php",,"27cm, range 20.1-36.1cm",,"fish",
"91","Lythrypnus zebra","zebra goby","native","http://www.fishbase.org/search.php",,"4.2cm, range 3.2-5.7cm",,"fish",
"21","Brachyistius frenatus","kelp perch","native","https://www.fishbase.se/summary/3625",,"14.1cm, range 10.5-18.8",,"fish",
"23","Catostomus occidentalis","sacramento sucker","native","https://escholarship.org/content/qt6t96k2rn/qt6t96k2rn_noSplash_c904d58fa5b15d745342dd9106ca4010.pdf?t=p30bdl",,"34.1cm, range 25.5-45.7cm",,"fish",
"25","Cephaloscyllium ventriosum","swell shark","native","https://www.fishbase.se/summary/802",,"58.3, range 43.5-78.1cm",,"fish",
"27","Chilara taylori","spotted cusk eel","native","https://www.fishbase.se/summary/Chilara-taylori.html#",,"20.9cm, range 15.6-28cm",,"fish",
"28","Chromis punctipinnis","blacksmith","native","https://www.fishbase.se/summary/Chromis-punctipinnis.html",,"15.7cm, range 11.7-21.2cm",,"fish",
"29","Citharichthys sordidus","Pacific sanddab","native","https://www.fishbase.se/summary/Citharichthys-sordidus.html",,"17.7cm, range 13.2-23.7cm",,"fish",
"30","Citharichthys stigmaeus","speckled sanddab","native","https://www.fishbase.se/summary/Citharichthys-stigmaeus.html#",,"11.2cm, range 8.4-15cm",,"fish",
"31","Citharichthys xanthostigma","longfin sanddab","native","https://www.fishbase.se/summary/Citharichthys-xanthostigma.html",,"15.7cm, range 11.7-21.2cm",,"fish",
"32","Clevelandia ios","arrow goby","native","https://www.fishbase.se/Summary/SpeciesSummary.php?ID=3840&AT=arrow+goby",,"4.7cm, range 3.5-6.3cm",,"fish",
"33","Clinocottus acuticeps","sharpnose sculpin","native","https://escholarship.org/content/qt6t96k2rn/qt6t96k2rn_noSplash_c904d58fa5b15d745342dd9106ca4010.pdf?t=p30bdl",,"4.7cm, range 3.5-6.3cm",,"fish",
"37","Cottus aleuticus","coastrange sculpin","native","https://escholarship.org/content/qt6t96k2rn/qt6t96k2rn_noSplash_c904d58fa5b15d745342dd9106ca4010.pdf?t=p30bdl",,"11.2cm, range 8.4-15cm",,"fish",
"41","Cymatogaster aggregata","shiner surfperch","native","http://www.fishbase.org/search.php",,"13.1cm, range 9.8-17.5cm",,"fish",
"47","Embiotoca lateralis","striped surfperch","native","http://www.fishbase.org/search.php",,"22.8cm, 20.8-29.2cm",,"fish",
"49","Enophrys bison","buffalo sculpin","native","https://escholarship.org/content/qt6t96k2rn/qt6t96k2rn_noSplash_c904d58fa5b15d745342dd9106ca4010.pdf?t=p30bdl",,"22.3cm, 16.6-29.8cm",,"fish",
"145","Semicossyphus pulcher","California sheephead","native","http://www.fishbase.org/search.php",,"30.4cm, range 22.7-40.8cm",,"fish",
"151","Squatina californica","Pacific angelshark","native","http://www.fishbase.org/search.php",,"97cm, range 86-108cm",,"fish",
"155","Thaleichthys pacificus","Eulachon","native","https://www.fisheries.noaa.gov/species/eulachon",,"15.5cm, range 15-16cm",,"fish",
